Sector,Output Chg (%),Price Chg (%),Supply Shock,Demand Shock,Domar Weight,Leontief Mult.,Supply → GDP (%),Demand → GDP (%),Total → GDP (%)
Farms,-3.0,-3.0,0.015,-0.09,0.021758581164777017,1.951565928937978,-0.014073310278431454,-0.008666550451834815,-0.02273986073026627
Warehousing and storage,-7.09342155569948,-2.0,-0.00837368622279792,-0.12133459365284974,0.0051954203922745315,1.3691168614453808,-0.022320106987258746,-0.0,-0.022320106987258746
Rail transportation,-8.41134347710776,-5.0,-0.006075623180718401,-0.17016204967296802,0.004479156721640278,1.386297905263594,-0.0030433637224337143,-0.01831300728374903,-0.02135637100618274
Paper products,-6.07054455445544,-1.5,-0.0153527227722772,-0.10172206506364914,0.010141570603949048,1.8819121017961975,-0.01099658958561153,-0.009052713301105185,-0.020049302886716715
Wood products,-11.6642549091413,-2.0,-0.026657019636565197,-0.1496028323237922,0.005361193933198474,1.6934140057342513,-0.019100738075954995,-0.00041529215049755007,-0.019516030226452544
Textile mills and textile product mills,-16.7541322314049,-3.0,-0.0370165289256196,-0.23942665289256124,0.003049512398474795,1.5564784110911989,-0.009108916195740557,-0.007747715727414632,-0.016856631923155188
Apparel and leather and allied products,-28.497142857142897,-31.603336877103068,0.20204479734245906,-0.5352421599798222,0.0017919620789975791,1.2632127236530326,-0.010054659717529502,-0.005795471750472136,-0.015850131468001637
Water transportation,-13.8545809501529,-80.0,0.7076361269989807,-0.9731822618769113,0.0033356519452000357,1.0971240853805782,-0.008422985830321656,-0.006106283216594812,-0.014529269046916468
State and local government enterprises,-2.0,0.0,-0.04,-0.06666666666666667,0.015859427142085224,1.0878422791894187,-0.006078223034225547,-0.008380778064315237,-0.014459001098540784
Federal government enterprises,-3.0,0.0,-0.06,-0.1,0.005129110975904955,1.2920350698094578,-0.006514190385713972,-0.0024565422124719224,-0.008970732598185894
Information and data processing services,-1.06299305033808,-0.8937663762405408,0.006280181136560209,-0.02412327876723512,0.012378681766584868,1.5458151064103547,-0.003303654544478837,-0.0030055309074260724,-0.0063091854519049095
Waste management and remediation services,-2.2565203722707103,-1.0,-0.0012826018613535505,-0.04760867287117851,0.005153117645878221,1.4701739719054472,-0.0056372180479897175,-0.0,-0.0056372180479897175
Insurance carriers and related activities,-0.12189794966044999,-4.2738250356764,0.04212876060846175,-0.045176209349973,0.04935033959181121,3.0001755448607113,-0.0029275478513369163,-0.0003791351632713929,-0.0033066830146083093
Pipeline transportation,-1.04712041884818,-5.0,0.039528795811518205,-0.0709424083769636,0.0018410288294048334,1.1619618203531825,-0.0012904885621597263,-0.00026602771573408637,-0.001556516277893813
"Funds, trusts, and other financial vehicles",0.234908946360509,0.0,0.001174544731802545,0.0033558420908644145,0.00783670851589214,1.041379137180375,0.0002366400234479018,0.0005968032640070803,0.0008334432874549822
"Securities, commodity contracts, and investments",0.234908946360509,-5.92280735901628,0.060167709375604846,-0.05629171176065644,0.02721108915212323,2.273019601254543,0.0026376389046486254,0.0004395619206535723,0.003077200825302198
Federal general government,2.0,0.0,0.06666666666666667,0.09999999999999999,0.05610569454844563,1.0,0.030285854502407103,0.044612294566705166,0.07489814906911227
TOTAL,,,,,1.7407343956367962,,-1.4524222296237626,-7.295053518272551,-8.747475747896315
